"PartID" "Trial" "Length" "VerbType" "Item" "Age" "Gender" "Distractor" "Subject" "Agent" "Patient" "LC" "LCC" "PC" "PCC"
"SPA_P14_L3R2" 3 "Short" "NPred" 16 19 "M" 0 0 0 1 -0.5 -0.5 -0.5 -0.5
"SPA_P14_L3R2" 4 "Long" "NPred" 6 19 "M" 0 0 0 1 0.5 0.5 -0.5 -0.5
"SPA_P14_L3R2" 5 "Long" "Pred" 5 19 "M" 1 0 1 0 0.5 0.5 0.5 0.5
"SPA_P14_L3R2" 6 "Short" "Pred" 2 19 "M" 0 0 1 0 -0.5 -0.5 0.5 0.5
"SPA_P14_L3R2" 7 "Short" "NPred" 10 19 "M" 0 0 1 0 -0.5 -0.5 -0.5 -0.5
"SPA_P14_L3R2" 8 "Long" "Pred" 8 19 "M" 0 1 0 0 0.5 0.5 0.5 0.5
"SPA_P14_L3R2" 9 "Short" "NPred" 11 19 "M" 0 0 0 1 -0.5 -0.5 -0.5 -0.5
"SPA_P14_L3R2" 10 "Long" "NPred" 7 19 "M" 1 0 0 1 0.5 0.5 -0.5 -0.5
"SPA_P14_L3R2" 11 "Long" "NPred" 3 19 "M" 0 0 0 1 0.5 0.5 -0.5 -0.5
"SPA_P14_L3R2" 12 "Short" "Pred" 9 19 "M" 0 0 0 1 -0.5 -0.5 0.5 0.5
"SPA_P15_L4R1" 1 "Long" "NPred" 2 23 "F" 0 0 1 0 0.5 0.5 -0.5 -0.5
"SPA_P15_L4R1" 2 "Short" "NPred" 7 23 "F" 1 0 0 0 -0.5 -0.5 -0.5 -0.5
"SPA_P15_L4R1" 3 "Short" "Pred" 8 23 "F" 0 0 0 1 -0.5 -0.5 0.5 0.5
"SPA_P15_L4R1" 4 "Long" "Pred" 16 23 "F" 0 0 0 1 0.5 0.5 0.5 0.5
"SPA_P15_L4R1" 5 "Short" "Pred" 15 23 "F" 1 0 0 0 -0.5 -0.5 0.5 0.5
"SPA_P15_L4R1" 6 "Long" "Pred" 10 23 "F" 0 0 0 1 0.5 0.5 0.5 0.5
"SPA_P15_L4R1" 7 "Long" "NPred" 9 23 "F" 1 0 0 0 0.5 0.5 -0.5 -0.5
"SPA_P15_L4R1" 8 "Long" "Pred" 11 23 "F" 0 0 1 1 0.5 0.5 0.5 0.5
"SPA_P15_L4R1" 9 "Short" "NPred" 6 23 "F" 1 0 0 1 -0.5 -0.5 -0.5 -0.5
"SPA_P15_L4R1" 10 "Short" "Pred" 5 23 "F" 0 0 1 0 -0.5 -0.5 0.5 0.5
"SPA_P15_L4R1" 11 "Long" "NPred" 12 23 "F" 0 0 0 1 0.5 0.5 -0.5 -0.5
"SPA_P15_L4R1" 12 "Short" "NPred" 3 23 "F" 0 0 1 0 -0.5 -0.5 -0.5 -0.5
"SPA_P16_L4R2" 1 "Long" "NPred" 9 20 "F" 0 0 0 0 0.5 0.5 -0.5 -0.5
"SPA_P16_L4R2" 2 "Long" "Pred" 11 20 "F" 0 0 0 0 0.5 0.5 0.5 0.5
"SPA_P16_L4R2" 3 "Long" "Pred" 16 20 "F" 0 0 0 1 0.5 0.5 0.5 0.5
"SPA_P16_L4R2" 4 "Long" "NPred" 12 20 "F" 0 1 0 0 0.5 0.5 -0.5 -0.5
"SPA_P16_L4R2" 5 "Short" "NPred" 3 20 "F" 0 0 0 0 -0.5 -0.5 -0.5 -0.5
"SPA_P16_L4R2" 6 "Long" "Pred" 10 20 "F" 0 0 0 0 0.5 0.5 0.5 0.5
"SPA_P16_L4R2" 7 "Long" "NPred" 2 20 "F" 0 0 0 0 0.5 0.5 -0.5 -0.5
"SPA_P16_L4R2" 8 "Short" "NPred" 6 20 "F" 0 0 0 0 -0.5 -0.5 -0.5 -0.5
"SPA_P16_L4R2" 9 "Short" "Pred" 15 20 "F" 0 0 0 0 -0.5 -0.5 0.5 0.5
"SPA_P16_L4R2" 10 "Short" "NPred" 7 20 "F" 0 0 0 0 -0.5 -0.5 -0.5 -0.5
"SPA_P16_L4R2" 11 "Short" "Pred" 8 20 "F" 0 0 0 1 -0.5 -0.5 0.5 0.5
"SPA_P16_L4R2" 12 "Short" "Pred" 5 20 "F" 0 0 0 0 -0.5 -0.5 0.5 0.5
"SPA_P17_L1R1" 1 "Short" "NPred" 9 20 "F" 1 0 0 0 -0.5 -0.5 -0.5 -0.5
"SPA_P17_L1R1" 2 "Short" "Pred" 10 20 "F" 0 0 0 1 -0.5 -0.5 0.5 0.5
"SPA_P17_L1R1" 3 "Long" "Pred" 7 20 "F" 1 0 0 1 0.5 0.5 0.5 0.5
"SPA_P17_L1R1" 4 "Short" "Pred" 16 20 "F" 1 0 0 1 -0.5 -0.5 0.5 0.5
"SPA_P17_L1R1" 5 "Long" "NPred" 8 20 "F" 0 0 0 0 0.5 0.5 -0.5 -0.5
"SPA_P17_L1R1" 6 "Short" "NPred" 12 20 "F" 1 0 0 0 -0.5 -0.5 -0.5 -0.5
"SPA_P17_L1R1" 7 "Short" "Pred" 11 20 "F" 1 0 0 0 -0.5 -0.5 0.5 0.5
"SPA_P17_L1R1" 8 "Long" "Pred" 3 20 "F" 0 0 1 0 0.5 0.5 0.5 0.5
"SPA_P17_L1R1" 9 "Long" "Pred" 6 20 "F" 0 0 0 1 0.5 0.5 0.5 0.5
"SPA_P17_L1R1" 10 "Short" "NPred" 2 20 "F" 0 0 0 1 -0.5 -0.5 -0.5 -0.5
"SPA_P17_L1R1" 11 "Long" "NPred" 5 20 "F" 0 0 0 1 0.5 0.5 -0.5 -0.5
"SPA_P17_L1R1" 12 "Long" "NPred" 15 20 "F" 1 0 0 1 0.5 0.5 -0.5 -0.5
"SPA_P18_L1R2" 1 "Long" "Pred" 6 19 "F" 0 0 0 0 0.5 0.5 0.5 0.5
"SPA_P18_L1R2" 2 "Short" "NPred" 9 19 "F" 0 0 0 0 -0.5 -0.5 -0.5 -0.5
"SPA_P18_L1R2" 3 "Long" "Pred" 3 19 "F" 0 0 0 0 0.5 0.5 0.5 0.5
"SPA_P18_L1R2" 4 "Long" "NPred" 5 19 "F" 0 0 0 1 0.5 0.5 -0.5 -0.5
"SPA_P18_L1R2" 5 "Long" "NPred" 15 19 "F" 1 0 0 0 0.5 0.5 -0.5 -0.5
"SPA_P18_L1R2" 6 "Short" "Pred" 16 19 "F" 1 0 0 0 -0.5 -0.5 0.5 0.5
"SPA_P18_L1R2" 7 "Short" "NPred" 2 19 "F" 0 1 0 0 -0.5 -0.5 -0.5 -0.5
"SPA_P18_L1R2" 8 "Long" "NPred" 8 19 "F" 0 0 0 1 0.5 0.5 -0.5 -0.5
"SPA_P18_L1R2" 9 "Long" "Pred" 7 19 "F" 0 0 0 1 0.5 0.5 0.5 0.5
"SPA_P18_L1R2" 10 "Short" "Pred" 11 19 "F" 0 0 0 1 -0.5 -0.5 0.5 0.5
"SPA_P18_L1R2" 11 "Short" "NPred" 12 19 "F" 0 1 0 0 -0.5 -0.5 -0.5 -0.5
"SPA_P18_L1R2" 12 "Short" "Pred" 10 19 "F" 0 0 1 0 -0.5 -0.5 0.5 0.5
"SPA_P19_L2R1" 1 "Short" "Pred" 7 21 "M" 0 1 0 1 -0.5 -0.5 0.5 0.5
