"PartID" "VerbType" "Time" "ot1" "ot2" "EV" "Age" "Distractor" "Subject" "Agent" "Patient" "PC" "PCC" "EVC" "AC"
"P1_LAR1_C" "Pred" -240 -0.0990147542976674 -0.227155425212127 30 59 0 0 0 0.166666666666667 0.5 0.5 6.20833333333333 8.70833333333334
"P1_LAR1_C" "Pred" -200 -0.0495073771488337 -0.261228738993946 30 59 0 0 0 0.166666666666667 0.5 0.5 6.20833333333333 8.70833333333334
"P1_LAR1_C" "Pred" -160 2.63828303997295e-17 -0.272586510254553 30 59 0 0 0 0.166666666666667 0.5 0.5 6.20833333333333 8.70833333333334
"P1_LAR1_C" "Pred" -120 0.0495073771488337 -0.261228738993946 30 59 0 0.166666666666667 0 0 0.5 0.5 6.20833333333333 8.70833333333334
"P1_LAR1_C" "Pred" -80 0.0990147542976675 -0.227155425212127 30 59 0 0.166666666666667 0 0 0.5 0.5 6.20833333333333 8.70833333333334
"P1_LAR1_C" "Pred" -40 0.148522131446501 -0.170366568909096 30 59 0 0.166666666666667 0 0 0.5 0.5 6.20833333333333 8.70833333333334
"P1_LAR1_C" "Pred" 0 0.198029508595335 -0.090862170084851 30 59 0 0.166666666666667 0 0 0.5 0.5 6.20833333333333 8.70833333333334
"P1_LAR1_C" "Pred" 40 0.247536885744169 0.0113577712606063 30 59 0 0.333333333333333 0 0 0.5 0.5 6.20833333333333 8.70833333333334
"P1_LAR1_C" "Pred" 80 0.297044262893002 0.136293255127276 30 59 0 0.333333333333333 0 0 0.5 0.5 6.20833333333333 8.70833333333334
"P1_LAR1_C" "Pred" 120 0.346551640041836 0.283944281515159 30 59 0 0.333333333333333 0 0 0.5 0.5 6.20833333333333 8.70833333333334
"P1_LAR1_C" "Pred" 160 0.39605901719067 0.454310850424255 30 59 0.166666666666667 0.166666666666667 0 0 0.5 0.5 6.20833333333333 8.70833333333334
"P10_LBR1_C" "NPred" -480 -0.39605901719067 0.454310850424254 23 50 0 0 0 0 -0.5 -0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "NPred" -440 -0.346551640041836 0.283944281515159 23 50 0 0 0 0 -0.5 -0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "NPred" -400 -0.297044262893002 0.136293255127276 23 50 0 0 0 0 -0.5 -0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "NPred" -360 -0.247536885744169 0.0113577712606064 23 50 0 0 0 0 -0.5 -0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "NPred" -320 -0.198029508595335 -0.090862170084851 23 50 0 0 0 0 -0.5 -0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "NPred" -280 -0.148522131446501 -0.170366568909096 23 50 0 0 0 0 -0.5 -0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "NPred" -240 -0.0990147542976674 -0.227155425212127 23 50 0 0 0 0 -0.5 -0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "NPred" -200 -0.0495073771488337 -0.261228738993946 23 50 0 0 0 0 -0.5 -0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "NPred" -160 2.63828303997295e-17 -0.272586510254553 23 50 0 0 0 0.166666666666667 -0.5 -0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "NPred" -120 0.0495073771488337 -0.261228738993946 23 50 0.166666666666667 0 0 0.333333333333333 -0.5 -0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "NPred" -80 0.0990147542976675 -0.227155425212127 23 50 0.166666666666667 0 0 0.333333333333333 -0.5 -0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "NPred" -40 0.148522131446501 -0.170366568909096 23 50 0.166666666666667 0 0 0.333333333333333 -0.5 -0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "NPred" 0 0.198029508595335 -0.090862170084851 23 50 0.166666666666667 0 0 0.333333333333333 -0.5 -0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "NPred" 40 0.247536885744169 0.0113577712606063 23 50 0.166666666666667 0 0 0.333333333333333 -0.5 -0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "NPred" 80 0.297044262893002 0.136293255127276 23 50 0.166666666666667 0 0 0.333333333333333 -0.5 -0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "NPred" 120 0.346551640041836 0.283944281515159 23 50 0.166666666666667 0 0 0.333333333333333 -0.5 -0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "NPred" 160 0.39605901719067 0.454310850424255 23 50 0.333333333333333 0 0.166666666666667 0.333333333333333 -0.5 -0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "Pred" -480 -0.39605901719067 0.454310850424254 23 50 0 0 0 0.166666666666667 0.5 0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "Pred" -440 -0.346551640041836 0.283944281515159 23 50 0 0 0 0.166666666666667 0.5 0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "Pred" -400 -0.297044262893002 0.136293255127276 23 50 0 0 0 0.166666666666667 0.5 0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "Pred" -360 -0.247536885744169 0.0113577712606064 23 50 0 0 0.166666666666667 0.166666666666667 0.5 0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "Pred" -320 -0.198029508595335 -0.090862170084851 23 50 0 0 0.166666666666667 0.166666666666667 0.5 0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "Pred" -280 -0.148522131446501 -0.170366568909096 23 50 0 0.166666666666667 0.166666666666667 0 0.5 0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "Pred" -240 -0.0990147542976674 -0.227155425212127 23 50 0 0.166666666666667 0.166666666666667 0 0.5 0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "Pred" -200 -0.0495073771488337 -0.261228738993946 23 50 0 0.166666666666667 0.166666666666667 0 0.5 0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "Pred" -160 2.63828303997295e-17 -0.272586510254553 23 50 0 0.166666666666667 0.166666666666667 0 0.5 0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "Pred" -120 0.0495073771488337 -0.261228738993946 23 50 0 0.166666666666667 0.166666666666667 0.166666666666667 0.5 0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "Pred" -80 0.0990147542976675 -0.227155425212127 23 50 0 0.333333333333333 0.333333333333333 0.166666666666667 0.5 0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "Pred" -40 0.148522131446501 -0.170366568909096 23 50 0 0.166666666666667 0.333333333333333 0.166666666666667 0.5 0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "Pred" 0 0.198029508595335 -0.090862170084851 23 50 0 0.166666666666667 0.333333333333333 0.166666666666667 0.5 0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "Pred" 40 0.247536885744169 0.0113577712606063 23 50 0 0.166666666666667 0.5 0.166666666666667 0.5 0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "Pred" 80 0.297044262893002 0.136293255127276 23 50 0 0.166666666666667 0.5 0.166666666666667 0.5 0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "Pred" 120 0.346551640041836 0.283944281515159 23 50 0 0.166666666666667 0.5 0.166666666666667 0.5 0.5 -0.791666666666668 -0.291666666666664
"P10_LBR1_C" "Pred" 160 0.39605901719067 0.454310850424255 23 50 0.166666666666667 0.166666666666667 0.333333333333333 0.166666666666667 0.5 0.5 -0.791666666666668 -0.291666666666664
"P11_LAR2_C" "NPred" -480 -0.39605901719067 0.454310850424254 22 56 0 0.166666666666667 0.333333333333333 0.333333333333333 -0.5 -0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "NPred" -440 -0.346551640041836 0.283944281515159 22 56 0.166666666666667 0.166666666666667 0.333333333333333 0.166666666666667 -0.5 -0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "NPred" -400 -0.297044262893002 0.136293255127276 22 56 0.166666666666667 0.166666666666667 0.333333333333333 0.166666666666667 -0.5 -0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "NPred" -360 -0.247536885744169 0.0113577712606064 22 56 0.166666666666667 0.166666666666667 0.333333333333333 0.166666666666667 -0.5 -0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "NPred" -320 -0.198029508595335 -0.090862170084851 22 56 0.166666666666667 0.166666666666667 0.333333333333333 0.166666666666667 -0.5 -0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "NPred" -280 -0.148522131446501 -0.170366568909096 22 56 0.166666666666667 0.166666666666667 0.333333333333333 0.166666666666667 -0.5 -0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "NPred" -240 -0.0990147542976674 -0.227155425212127 22 56 0.166666666666667 0.166666666666667 0.333333333333333 0.166666666666667 -0.5 -0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "NPred" -200 -0.0495073771488337 -0.261228738993946 22 56 0.166666666666667 0 0.5 0.333333333333333 -0.5 -0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "NPred" -160 2.63828303997295e-17 -0.272586510254553 22 56 0.166666666666667 0 0.5 0.333333333333333 -0.5 -0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "NPred" -120 0.0495073771488337 -0.261228738993946 22 56 0.166666666666667 0 0.5 0.333333333333333 -0.5 -0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "NPred" -80 0.0990147542976675 -0.227155425212127 22 56 0.166666666666667 0 0.5 0.333333333333333 -0.5 -0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "NPred" -40 0.148522131446501 -0.170366568909096 22 56 0.166666666666667 0 0.5 0.333333333333333 -0.5 -0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "NPred" 0 0.198029508595335 -0.090862170084851 22 56 0.166666666666667 0 0.5 0.333333333333333 -0.5 -0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "NPred" 40 0.247536885744169 0.0113577712606063 22 56 0.166666666666667 0 0.5 0.333333333333333 -0.5 -0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "NPred" 80 0.297044262893002 0.136293255127276 22 56 0.166666666666667 0 0.5 0.333333333333333 -0.5 -0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "NPred" 120 0.346551640041836 0.283944281515159 22 56 0.166666666666667 0 0.5 0.333333333333333 -0.5 -0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "NPred" 160 0.39605901719067 0.454310850424255 22 56 0.166666666666667 0 0.5 0.333333333333333 -0.5 -0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "Pred" -480 -0.39605901719067 0.454310850424254 22 56 0.333333333333333 0.166666666666667 0.166666666666667 0 0.5 0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "Pred" -440 -0.346551640041836 0.283944281515159 22 56 0.333333333333333 0.166666666666667 0.166666666666667 0 0.5 0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "Pred" -400 -0.297044262893002 0.136293255127276 22 56 0.333333333333333 0.166666666666667 0.166666666666667 0 0.5 0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "Pred" -360 -0.247536885744169 0.0113577712606064 22 56 0.333333333333333 0.166666666666667 0.166666666666667 0 0.5 0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "Pred" -320 -0.198029508595335 -0.090862170084851 22 56 0.333333333333333 0.166666666666667 0.166666666666667 0 0.5 0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "Pred" -280 -0.148522131446501 -0.170366568909096 22 56 0.333333333333333 0.166666666666667 0.333333333333333 0 0.5 0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "Pred" -240 -0.0990147542976674 -0.227155425212127 22 56 0.333333333333333 0.166666666666667 0.333333333333333 0 0.5 0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "Pred" -200 -0.0495073771488337 -0.261228738993946 22 56 0.333333333333333 0.166666666666667 0.333333333333333 0 0.5 0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "Pred" -160 2.63828303997295e-17 -0.272586510254553 22 56 0.333333333333333 0 0.333333333333333 0.166666666666667 0.5 0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "Pred" -120 0.0495073771488337 -0.261228738993946 22 56 0.333333333333333 0 0.333333333333333 0.166666666666667 0.5 0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "Pred" -80 0.0990147542976675 -0.227155425212127 22 56 0.333333333333333 0 0.333333333333333 0.166666666666667 0.5 0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "Pred" -40 0.148522131446501 -0.170366568909096 22 56 0.333333333333333 0 0.333333333333333 0.166666666666667 0.5 0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "Pred" 0 0.198029508595335 -0.090862170084851 22 56 0.166666666666667 0 0.5 0.333333333333333 0.5 0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "Pred" 40 0.247536885744169 0.0113577712606063 22 56 0.166666666666667 0 0.5 0.333333333333333 0.5 0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "Pred" 80 0.297044262893002 0.136293255127276 22 56 0.166666666666667 0 0.5 0.333333333333333 0.5 0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "Pred" 120 0.346551640041836 0.283944281515159 22 56 0.166666666666667 0 0.5 0.333333333333333 0.5 0.5 -1.79166666666667 5.70833333333334
"P11_LAR2_C" "Pred" 160 0.39605901719067 0.454310850424255 22 56 0.166666666666667 0 0.5 0.333333333333333 0.5 0.5 -1.79166666666667 5.70833333333334
"P12_LBR2_C" "NPred" -480 -0.39605901719067 0.454310850424254 22 55 0 0 0.166666666666667 0.166666666666667 -0.5 -0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "NPred" -440 -0.346551640041836 0.283944281515159 22 55 0 0 0.166666666666667 0.166666666666667 -0.5 -0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "NPred" -400 -0.297044262893002 0.136293255127276 22 55 0 0 0.166666666666667 0.333333333333333 -0.5 -0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "NPred" -360 -0.247536885744169 0.0113577712606064 22 55 0 0 0.166666666666667 0.333333333333333 -0.5 -0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "NPred" -320 -0.198029508595335 -0.090862170084851 22 55 0.166666666666667 0 0.166666666666667 0.333333333333333 -0.5 -0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "NPred" -280 -0.148522131446501 -0.170366568909096 22 55 0.166666666666667 0 0.166666666666667 0.333333333333333 -0.5 -0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "NPred" -240 -0.0990147542976674 -0.227155425212127 22 55 0.166666666666667 0 0.166666666666667 0.333333333333333 -0.5 -0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "NPred" -200 -0.0495073771488337 -0.261228738993946 22 55 0.166666666666667 0 0.166666666666667 0.333333333333333 -0.5 -0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "NPred" -160 2.63828303997295e-17 -0.272586510254553 22 55 0.166666666666667 0 0.166666666666667 0.166666666666667 -0.5 -0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "NPred" -120 0.0495073771488337 -0.261228738993946 22 55 0.166666666666667 0 0.166666666666667 0.166666666666667 -0.5 -0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "NPred" -80 0.0990147542976675 -0.227155425212127 22 55 0.166666666666667 0 0.166666666666667 0.166666666666667 -0.5 -0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "NPred" -40 0.148522131446501 -0.170366568909096 22 55 0.166666666666667 0 0.166666666666667 0.166666666666667 -0.5 -0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "NPred" 0 0.198029508595335 -0.090862170084851 22 55 0.166666666666667 0 0.166666666666667 0.166666666666667 -0.5 -0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "NPred" 40 0.247536885744169 0.0113577712606063 22 55 0.166666666666667 0 0.166666666666667 0.166666666666667 -0.5 -0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "NPred" 80 0.297044262893002 0.136293255127276 22 55 0.166666666666667 0 0.166666666666667 0.166666666666667 -0.5 -0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "NPred" 120 0.346551640041836 0.283944281515159 22 55 0.166666666666667 0 0.166666666666667 0.166666666666667 -0.5 -0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "NPred" 160 0.39605901719067 0.454310850424255 22 55 0.166666666666667 0 0.166666666666667 0.166666666666667 -0.5 -0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "Pred" -480 -0.39605901719067 0.454310850424254 22 55 0.166666666666667 0 0.166666666666667 0.166666666666667 0.5 0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "Pred" -440 -0.346551640041836 0.283944281515159 22 55 0.166666666666667 0 0.333333333333333 0.166666666666667 0.5 0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "Pred" -400 -0.297044262893002 0.136293255127276 22 55 0.166666666666667 0 0.333333333333333 0.166666666666667 0.5 0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "Pred" -360 -0.247536885744169 0.0113577712606064 22 55 0.166666666666667 0 0.333333333333333 0.166666666666667 0.5 0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "Pred" -320 -0.198029508595335 -0.090862170084851 22 55 0.166666666666667 0 0.5 0.166666666666667 0.5 0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "Pred" -280 -0.148522131446501 -0.170366568909096 22 55 0.166666666666667 0 0.5 0.166666666666667 0.5 0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "Pred" -240 -0.0990147542976674 -0.227155425212127 22 55 0.166666666666667 0 0.5 0.166666666666667 0.5 0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "Pred" -200 -0.0495073771488337 -0.261228738993946 22 55 0.166666666666667 0 0.5 0.166666666666667 0.5 0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "Pred" -160 2.63828303997295e-17 -0.272586510254553 22 55 0.166666666666667 0 0.5 0.166666666666667 0.5 0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "Pred" -120 0.0495073771488337 -0.261228738993946 22 55 0.166666666666667 0 0.5 0.166666666666667 0.5 0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "Pred" -80 0.0990147542976675 -0.227155425212127 22 55 0.166666666666667 0 0.5 0.166666666666667 0.5 0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "Pred" -40 0.148522131446501 -0.170366568909096 22 55 0.166666666666667 0 0.5 0.166666666666667 0.5 0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "Pred" 0 0.198029508595335 -0.090862170084851 22 55 0.166666666666667 0 0.5 0.166666666666667 0.5 0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "Pred" 40 0.247536885744169 0.0113577712606063 22 55 0.166666666666667 0 0.666666666666667 0.166666666666667 0.5 0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "Pred" 80 0.297044262893002 0.136293255127276 22 55 0.166666666666667 0 0.666666666666667 0.166666666666667 0.5 0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "Pred" 120 0.346551640041836 0.283944281515159 22 55 0 0 0.833333333333333 0.166666666666667 0.5 0.5 -1.79166666666667 4.70833333333334
"P12_LBR2_C" "Pred" 160 0.39605901719067 0.454310850424255 22 55 0 0 0.833333333333333 0.166666666666667 0.5 0.5 -1.79166666666667 4.70833333333334
"P13_LAR1_C" "NPred" -480 -0.39605901719067 0.454310850424254 26 48 0.333333333333333 0.166666666666667 0 0 -0.5 -0.5 2.20833333333333 -2.29166666666666
"P13_LAR1_C" "NPred" -440 -0.346551640041836 0.283944281515159 26 48 0.333333333333333 0.166666666666667 0 0 -0.5 -0.5 2.20833333333333 -2.29166666666666
"P13_LAR1_C" "NPred" -400 -0.297044262893002 0.136293255127276 26 48 0.333333333333333 0.333333333333333 0 0 -0.5 -0.5 2.20833333333333 -2.29166666666666
"P13_LAR1_C" "NPred" -360 -0.247536885744169 0.0113577712606064 26 48 0.333333333333333 0.333333333333333 0 0 -0.5 -0.5 2.20833333333333 -2.29166666666666
"P13_LAR1_C" "NPred" -320 -0.198029508595335 -0.090862170084851 26 48 0.333333333333333 0.333333333333333 0 0 -0.5 -0.5 2.20833333333333 -2.29166666666666
"P13_LAR1_C" "NPred" -280 -0.148522131446501 -0.170366568909096 26 48 0.333333333333333 0.333333333333333 0 0 -0.5 -0.5 2.20833333333333 -2.29166666666666
"P13_LAR1_C" "NPred" -240 -0.0990147542976674 -0.227155425212127 26 48 0.333333333333333 0.333333333333333 0 0.166666666666667 -0.5 -0.5 2.20833333333333 -2.29166666666666
"P13_LAR1_C" "NPred" -200 -0.0495073771488337 -0.261228738993946 26 48 0.333333333333333 0.333333333333333 0 0.166666666666667 -0.5 -0.5 2.20833333333333 -2.29166666666666
"P13_LAR1_C" "NPred" -160 2.63828303997295e-17 -0.272586510254553 26 48 0.333333333333333 0.333333333333333 0 0.166666666666667 -0.5 -0.5 2.20833333333333 -2.29166666666666
"P13_LAR1_C" "NPred" -120 0.0495073771488337 -0.261228738993946 26 48 0.333333333333333 0.333333333333333 0 0.166666666666667 -0.5 -0.5 2.20833333333333 -2.29166666666666
"P13_LAR1_C" "NPred" -80 0.0990147542976675 -0.227155425212127 26 48 0.333333333333333 0.333333333333333 0 0.166666666666667 -0.5 -0.5 2.20833333333333 -2.29166666666666
"P13_LAR1_C" "NPred" -40 0.148522131446501 -0.170366568909096 26 48 0.333333333333333 0.333333333333333 0 0.166666666666667 -0.5 -0.5 2.20833333333333 -2.29166666666666
"P13_LAR1_C" "NPred" 0 0.198029508595335 -0.090862170084851 26 48 0.333333333333333 0.333333333333333 0 0.166666666666667 -0.5 -0.5 2.20833333333333 -2.29166666666666
"P13_LAR1_C" "NPred" 40 0.247536885744169 0.0113577712606063 26 48 0.5 0.166666666666667 0 0.166666666666667 -0.5 -0.5 2.20833333333333 -2.29166666666666
"P13_LAR1_C" "NPred" 80 0.297044262893002 0.136293255127276 26 48 0.5 0.166666666666667 0 0.166666666666667 -0.5 -0.5 2.20833333333333 -2.29166666666666
"P13_LAR1_C" "NPred" 120 0.346551640041836 0.283944281515159 26 48 0.5 0.166666666666667 0 0.166666666666667 -0.5 -0.5 2.20833333333333 -2.29166666666666
"P13_LAR1_C" "NPred" 160 0.39605901719067 0.454310850424255 26 48 0.5 0.166666666666667 0 0.166666666666667 -0.5 -0.5 2.20833333333333 -2.29166666666666
"P13_LAR1_C" "Pred" -480 -0.39605901719067 0.454310850424254 26 48 0 0.166666666666667 0.166666666666667 0 0.5 0.5 2.20833333333333 -2.29166666666666
"P13_LAR1_C" "Pred" -440 -0.346551640041836 0.283944281515159 26 48 0 0.166666666666667 0.166666666666667 0 0.5 0.5 2.20833333333333 -2.29166666666666
"P13_LAR1_C" "Pred" -400 -0.297044262893002 0.136293255127276 26 48 0 0.166666666666667 0.166666666666667 0 0.5 0.5 2.20833333333333 -2.29166666666666
"P13_LAR1_C" "Pred" -360 -0.247536885744169 0.0113577712606064 26 48 0 0.166666666666667 0.333333333333333 0 0.5 0.5 2.20833333333333 -2.29166666666666
"P13_LAR1_C" "Pred" -320 -0.198029508595335 -0.090862170084851 26 48 0 0.166666666666667 0.333333333333333 0 0.5 0.5 2.20833333333333 -2.29166666666666
